name,salary_from,salary_to,salary_currency,area_name,published_at
Наладчик-монтажник испытательного оборудования,35000.0,,RUR,Новосибирск,2022-12-16T05:05:08+0300
Токарь 4 раряда,34300.0,34300.0,RUR,Березовский (Кемеровская область),2022-12-16T04:33:18+0300
Бизнес-аналитик,100000.0,,RUR,Томск,2022-12-16T05:49:37+0300
Ведущий инженер - электроник (г.Усть-Илимск),80000.0,100000.0,RUR,Иркутск,2022-12-16T05:24:24+0300
Токарь-карусельщик,47500.0,53900.0,RUR,Курган,2022-12-16T06:19:42+0300
Программист 1С,70000.0,,RUR,Ангарск,2022-12-16T04:41:38+0300
Механик по сервисному обслуживанию карьерной и строительной техники,,100000.0,RUR,Магадан,2022-12-16T04:35:54+0300
Ведущий инженер - электроник (г.Усть-Илимск),80000.0,100000.0,RUR,Братск,2022-12-16T05:24:24+0300
Мастер холодильного оборудования,53000.0,53000.0,RUR,Благовещенск (Амурская область),2022-12-16T06:37:09+0300
"C++ Developer (Middle, Senior)",,,,Уфа,2022-12-16T06:51:09+0300
Ведущий инженер - электроник (г.Усть-Илимск),80000.0,100000.0,RUR,Красноярск,2022-12-16T05:24:24+0300
Инженер по безопасности дорожного движения,,,,Свободный,2022-12-16T05:18:34+0300
Начальник участка механизации,100000.0,100000.0,RUR,Владивосток,2022-12-16T06:41:02+0300
Senior/Lead Python-разработчик,,,,Иннополис,2022-12-16T05:15:31+0300
Ведущий cистемный администратор,80000.0,,RUR,Екатеринбург,2022-12-16T06:51:23+0300
Корреспондент CHITA.RU,40000.0,,RUR,Чита,2022-12-16T05:22:28+0300
Инженер по сопровождению,30000.0,,RUR,Иркутск,2022-12-16T06:37:19+0300
Руководитель бизнес-инвестиционного фонда,,,,Красноярск,2022-12-16T06:05:50+0300
Веб разработчик Php fullstack developer,,,,Красноярск,2022-12-16T05:19:10+0300
Токарь,39500.0,52700.0,RUR,Курган,2022-12-16T06:19:38+0300
Менеджер по сдаче спецтехники в аренду,50000.0,120000.0,RUR,Красноярск,2022-12-16T05:02:27+0300
Наладчик оборудования в производстве стеновых и вяжущих материалов,60000.0,,RUR,Новосибирск,2022-12-16T05:27:53+0300
Токарь,38500.0,48400.0,RUR,Кемерово,2022-12-16T04:36:16+0300
Инженер,25000.0,,RUR,Нефтекамск,2022-12-16T06:18:49+0300
Инженер по ремонту,25000.0,,RUR,Октябрьский (Республика Башкортостан),2022-12-16T06:26:34+0300
Специалист по информационной безопасности,30000.0,38000.0,RUR,Березники,2022-12-16T06:33:37+0300
Оператор станков с ЧПУ,70000.0,88000.0,RUR,Юрга,2022-12-16T06:57:13+0300
Токарь,,,,Лесосибирск,2022-12-16T04:42:10+0300
Механик,35000.0,,RUR,Боровиха,2022-12-16T04:34:18+0300
"C++ Developer (Middle, Senior)",,,,Казань,2022-12-16T06:49:50+0300
"C++ Developer (Middle, Senior)",,,,Нижний Новгород,2022-12-16T06:50:36+0300
Системный администратор (удаленно),30000.0,80000.0,RUR,Красноярск,2022-12-16T09:33:29+0300
